Latitude,Longitude,Borough,Ward ID,Borough ID,Ward,Point Order,Sub Polygon Id
51.5443,0.0817,Barking and Dagenham,E05000026,E09000002,Abbey,1,1
51.5372,0.0952,Barking and Dagenham,E05000026,E09000002,Abbey,2,1
51.5365,0.0871,Barking and Dagenham,E05000026,E09000002,Abbey,3,1
51.5331,0.0776,Barking and Dagenham,E05000026,E09000002,Abbey,4,1
51.5369,0.0753,Barking and Dagenham,E05000026,E09000002,Abbey,5,1
51.5357,0.0703,Barking and Dagenham,E05000026,E09000002,Abbey,6,1
51.5394,0.0685,Barking and Dagenham,E05000026,E09000002,Abbey,7,1
51.5437,0.0699,Barking and Dagenham,E05000026,E09000002,Abbey,8,1
51.5439,0.07,Barking and Dagenham,E05000026,E09000002,Abbey,9,1
51.5431,0.0734,Barking and Dagenham,E05000026,E09000002,Abbey,10,1
51.5443,0.0817,Barking and Dagenham,E05000026,E09000002,Abbey,11,1
51.5433,0.1335,Barking and Dagenham,E05000027,E09000002,Alibon,1,1
51.5452,0.1402,Barking and Dagenham,E05000027,E09000002,Alibon,2,1
51.544,0.1432,Barking and Dagenham,E05000027,E09000002,Alibon,3,1
51.5461,0.1447,Barking and Dagenham,E05000027,E09000002,Alibon,4,1
51.5505,0.1444,Barking and Dagenham,E05000027,E09000002,Alibon,5,1
51.5505,0.158,Barking and Dagenham,E05000027,E09000002,Alibon,6,1
51.5479,0.1581,Barking and Dagenham,E05000027,E09000002,Alibon,7,1
51.5428,0.1632,Barking and Dagenham,E05000027,E09000002,Alibon,8,1
51.5411,0.1495,Barking and Dagenham,E05000027,E09000002,Alibon,9,1
51.5406,0.1419,Barking and Dagenham,E05000027,E09000002,Alibon,10,1
51.5402,0.1358,Barking and Dagenham,E05000027,E09000002,Alibon,11,1
51.5433,0.1335,Barking and Dagenham,E05000027,E09000002,Alibon,12,1
51.5515,0.1091,Barking and Dagenham,E05000028,E09000002,Becontree,1,1
51.552,0.1127,Barking and Dagenham,E05000028,E09000002,Becontree,2,1
